0.0000000000	0.0000000000
25.4827586207	0.0001972947
50.9655172414	0.0003832470
76.4482758621	0.0005578568
101.9310344828	0.0007211243
127.4137931034	0.0008730495
152.8965517241	0.0010136322
178.3793103448	0.0011428725
203.8620689655	0.0012607704
229.3448275862	0.0013673260
254.8275862069	0.0014625391
280.3103448276	0.0015464099
305.7931034483	0.0016189383
331.2758620690	0.0016801243
356.7586206897	0.0017299679
382.2413793103	0.0017684691
407.7241379310	0.0017956279
433.2068965517	0.0018114443
458.6896551724	0.0018159183
484.1724137931	0.0018090499
509.6551724138	0.0017908392
535.1379310345	0.0017612861
560.6206896552	0.0017203905
586.1034482759	0.0016681526
611.5862068966	0.0016045723
637.0689655172	0.0015296496
662.5517241379	0.0014433845
688.0344827586	0.0013457770
713.5172413793	0.0012368271
739.0000000000	0.0011165348
